"song_id";"album_id"
1;1
39;2
38;2
2;2
3;3
4;4
5;5
6;6
7;7
76;8
11;8
8;8
9;9
10;10
76;11
11;11
8;11
12;12
13;13
14;14
15;15
16;16
17;17
75;18
18;18
60;19
20;19
19;19
60;20
20;20
19;20
21;21
22;22
23;23
24;24
25;25
33;26
26;26
28;27
27;27
28;28
27;28
29;29
31;30
30;30
31;31
30;31
32;32
33;33
26;33
34;34
35;35
36;36
37;37
39;38
38;38
2;38
39;39
38;39
2;39
40;40
41;41
42;42
43;43
44;44
45;45
46;46
47;47
48;48
49;49
50;50
51;51
52;52
53;53
54;54
67;55
55;55
56;56
58;57
57;57
58;58
57;58
59;59
60;60
20;60
19;60
61;61
62;62
63;63
64;64
65;65
66;66
67;67
55;67
68;68
69;69
70;70
71;71
72;72
73;73
74;74
75;75
18;75
76;76
11;76
8;76
77;77
78;78
79;79
81;80
80;80
81;81
80;81
82;82
83;83
84;84
